,tempo,traffic
345,345,6
346,346,7
347,347,11
348,348,13
349,349,7
350,350,12
351,351,16
352,352,12
353,353,13
354,354,4
355,355,6
356,356,9
357,357,11
358,358,8
359,359,4
360,360,11
361,361,18
362,362,9
363,363,12
364,364,15
365,365,10
366,366,14
367,367,8
368,368,7
369,369,16
370,370,6
371,371,10
372,372,6
373,373,6
374,374,9
375,375,6
376,376,15
377,377,10
378,378,9
379,379,5
380,380,11
381,381,5
382,382,14
383,383,14
384,384,8
385,385,6
386,386,10
387,387,10
388,388,5
389,389,9
390,390,9
391,391,8
392,392,10
393,393,12
394,394,15
395,395,7
396,396,12
397,397,7
398,398,11
399,399,12
400,400,14
401,401,11
402,402,17
403,403,6
404,404,7
405,405,11
406,406,7
407,407,11
408,408,9
409,409,13
410,410,9
411,411,10
412,412,8
413,413,9
414,414,11
415,415,11
416,416,9
417,417,5
418,418,10
419,419,5
420,420,7
421,421,12
422,422,8
423,423,9
424,424,13
425,425,15
426,426,11
427,427,10
428,428,11
429,429,7
430,430,5
431,431,6
432,432,7
433,433,8
434,434,12
435,435,7
436,436,7
437,437,6
438,438,11
439,439,13
440,440,9
441,441,12
442,442,14
443,443,12
444,444,9
445,445,14
446,446,12
447,447,9
448,448,7
449,449,17
450,450,10
451,451,7
452,452,7
453,453,9
454,454,7
455,455,8
456,456,8
457,457,10
458,458,8
459,459,11
460,460,12
461,461,11
462,462,12
463,463,10
464,464,13
465,465,3
466,466,10
467,467,11
468,468,8
469,469,8
470,470,11
471,471,11
472,472,11
473,473,10
474,474,12
475,475,10
476,476,10
477,477,11
478,478,8
479,479,15
480,480,6
481,481,12
482,482,11
483,483,20
484,484,6
485,485,10
486,486,10
487,487,9
488,488,9
489,489,13
490,490,5
491,491,9
492,492,14
493,493,10
494,494,11
495,495,11
496,496,10
497,497,11
498,498,11
499,499,12
500,500,6
501,501,14
502,502,14
503,503,15
504,504,12
505,505,16
506,506,10
507,507,8
508,508,9
509,509,14
510,510,13
511,511,12
512,512,16
513,513,9
514,514,12
515,515,9
516,516,4
517,517,6
518,518,4
519,519,13
520,520,8
521,521,10
522,522,13
523,523,8
524,524,11
525,525,11
526,526,5
527,527,10
528,528,11
529,529,11
530,530,4
531,531,6
532,532,13
533,533,5
534,534,14
535,535,9
536,536,18
537,537,13
538,538,14
539,539,5
540,540,6
541,541,15
542,542,11
543,543,13
544,544,9
545,545,12
546,546,9
547,547,10
548,548,8
549,549,11
550,550,11
551,551,10
552,552,8
553,553,7
554,554,17
555,555,4
556,556,11
557,557,15
558,558,9
559,559,9
560,560,11
561,561,11
562,562,8
563,563,6
564,564,16
565,565,9
566,566,8
567,567,13
568,568,8
569,569,10
570,570,13
571,571,10
572,572,15
573,573,9
574,574,7
575,575,15
576,576,10
577,577,11
578,578,10
579,579,8
580,580,4
581,581,8
582,582,7
583,583,11
584,584,12
585,585,4
586,586,12
587,587,8
588,588,15
589,589,11
590,590,6
591,591,10
592,592,18
593,593,13
594,594,7
595,595,7
596,596,5
597,597,13
598,598,16
599,599,19
600,600,0
601,601,0
602,602,57
603,603,56
604,604,60
605,605,52
606,606,0
607,607,56
608,608,49
609,609,52
610,610,59
611,611,56
612,612,60
613,613,0
614,614,0
615,615,58
616,616,0
617,617,0
618,618,0
619,619,57
620,620,0
621,621,47
622,622,0
623,623,58
624,624,0
625,625,58
626,626,60
627,627,58
628,628,0
629,629,0
630,630,59
631,631,56
632,632,60
633,633,52
634,634,60
635,635,56
636,636,51
637,637,0
638,638,59
639,639,59
640,640,0
641,641,56
642,642,58
643,643,55
644,644,0
645,645,52
646,646,0
647,647,54
648,648,44
649,649,60
650,650,42
651,651,47
652,652,0
653,653,44
654,654,0
655,655,60
656,656,55
657,657,59
658,658,59
659,659,52
660,660,0
661,661,0
662,662,0
663,663,58
664,664,53
665,665,0
666,666,54
667,667,0
668,668,45
669,669,54
670,670,59
671,671,56
672,672,50
673,673,0
674,674,0
675,675,0
676,676,55
677,677,0
678,678,58
679,679,49
680,680,57
681,681,53
682,682,0
683,683,0
684,684,0
685,685,45
686,686,0
687,687,0
688,688,57
689,689,0
690,690,0
691,691,59
692,692,60
693,693,60
694,694,0
695,695,57
696,696,0
697,697,55
698,698,0
699,699,0
700,700,0
701,701,58
702,702,58
703,703,48
704,704,0
705,705,54
706,706,60
707,707,0
708,708,0
709,709,58
710,710,0
711,711,54
712,712,0
713,713,53
714,714,57
715,715,54
716,716,52
717,717,0
718,718,0
719,719,55
720,720,0
721,721,57
722,722,57
723,723,0
724,724,57
725,725,55
726,726,0
727,727,53
728,728,0
729,729,0
730,730,0
731,731,57
732,732,59
733,733,0
734,734,0
735,735,59
736,736,54
737,737,53
738,738,0
739,739,0
740,740,0
741,741,0
742,742,0
743,743,0
744,744,54
745,745,55
746,746,0
747,747,54
748,748,0
749,749,60
750,750,0
751,751,60
752,752,48
753,753,0
754,754,0
755,755,0
756,756,52
757,757,54
758,758,0
759,759,54
760,760,55
761,761,59
762,762,0
763,763,51
764,764,55
765,765,0
766,766,0
767,767,0
768,768,55
769,769,50
770,770,0
771,771,53
772,772,0
773,773,54
774,774,58
775,775,0
776,776,47
777,777,48
778,778,0
779,779,0
780,780,0
781,781,0
782,782,59
783,783,0
784,784,0
785,785,46
786,786,0
787,787,58
788,788,0
789,789,46
790,790,0
791,791,0
792,792,50
793,793,52
794,794,58
795,795,0
796,796,0
797,797,58
798,798,0
799,799,0
800,800,56
801,801,0
802,802,49
803,803,56
804,804,57
805,805,60
806,806,0
807,807,0
808,808,59
809,809,0
810,810,58
811,811,51
812,812,0
813,813,0
814,814,0
815,815,0
816,816,57
817,817,53
818,818,0
819,819,60
820,820,0
821,821,0
822,822,49
823,823,0
824,824,0
825,825,0
826,826,59
827,827,0
828,828,60
829,829,59
830,830,0
831,831,0
832,832,52
833,833,59
834,834,57
835,835,54
836,836,0
837,837,51
838,838,51
839,839,48
840,840,0
841,841,0
842,842,0
843,843,0
844,844,0
845,845,56
846,846,0
847,847,51
848,848,53
849,849,60
850,850,53
851,851,60
852,852,0
853,853,0
854,854,0
855,855,53
856,856,58
857,857,0
858,858,0
859,859,57
860,860,52
861,861,56
862,862,46
863,863,0
864,864,0
865,865,54
866,866,0
867,867,0
868,868,55
869,869,0
870,870,0
871,871,0
872,872,56
873,873,0
874,874,0
875,875,53
876,876,0
877,877,53
878,878,0
879,879,60
880,880,0
881,881,0
882,882,0
883,883,50
884,884,53
885,885,0
886,886,53
887,887,0
888,888,57
889,889,0
890,890,0
891,891,60
892,892,0
893,893,0
894,894,55
895,895,55
896,896,0
897,897,57
898,898,51
899,899,51
900,900,54
901,901,45
902,902,52
903,903,47
904,904,43
905,905,58
906,906,58
907,907,0
908,908,0
909,909,0
910,910,59
911,911,0
912,912,59
913,913,0
914,914,49
915,915,57
916,916,48
917,917,43
918,918,55
919,919,0
920,920,55
921,921,0
922,922,0
923,923,60
924,924,58
925,925,0
926,926,0
927,927,60
928,928,60
929,929,0
930,930,0
931,931,55
932,932,51
933,933,52
934,934,46
935,935,0
936,936,0
937,937,0
938,938,0
939,939,49
940,940,55
941,941,0
942,942,55
943,943,0
944,944,46
945,945,54
946,946,55
947,947,0
948,948,59
949,949,60
950,950,58
951,951,37
952,952,51
953,953,58
954,954,57
955,955,0
956,956,60
957,957,0
958,958,0
959,959,59
960,960,54
961,961,53
962,962,55
963,963,60
964,964,39
965,965,60
966,966,56
967,967,49
968,968,0
969,969,47
970,970,53
971,971,0
972,972,46
973,973,59
974,974,0
975,975,0
976,976,0
977,977,0
978,978,53
979,979,56
980,980,0
981,981,53
982,982,53
983,983,0
984,984,0
985,985,60
986,986,0
987,987,54
988,988,0
989,989,47
990,990,0
991,991,0
992,992,0
993,993,56
994,994,56
995,995,0
996,996,57
997,997,57
998,998,53
999,999,0
1000,1000,0
1001,1001,58
1002,1002,59
1003,1003,44
1004,1004,57
1005,1005,50
1006,1006,58
1007,1007,55
1008,1008,56
1009,1009,49
1010,1010,60
1011,1011,56
1012,1012,60
1013,1013,47
1014,1014,58
1015,1015,0
1016,1016,57
1017,1017,0
1018,1018,0
1019,1019,59
1020,1020,55
1021,1021,0
1022,1022,56
1023,1023,59
1024,1024,49
1025,1025,56
1026,1026,0
1027,1027,55
1028,1028,56
1029,1029,0
1030,1030,53
1031,1031,58
1032,1032,55
1033,1033,54
1034,1034,56
1035,1035,0
1036,1036,52
1037,1037,58
1038,1038,0
1039,1039,53
1040,1040,0
1041,1041,47
1042,1042,51
1043,1043,50
1044,1044,45
1045,1045,55
1046,1046,51
1047,1047,0
1048,1048,54
1049,1049,0
1050,1050,58
1051,1051,49
1052,1052,50
1053,1053,0
1054,1054,56
1055,1055,0
1056,1056,48
1057,1057,54
1058,1058,0
1059,1059,59
1060,1060,49
1061,1061,57
1062,1062,0
1063,1063,43
1064,1064,0
1065,1065,53
1066,1066,59
1067,1067,60
1068,1068,56
1069,1069,0
1070,1070,55
1071,1071,54
1072,1072,47
1073,1073,58
1074,1074,59
1075,1075,0
1076,1076,54
1077,1077,48
1078,1078,0
1079,1079,0
1080,1080,60
1081,1081,0
1082,1082,0
1083,1083,0
1084,1084,55
1085,1085,59
1086,1086,59
1087,1087,0
1088,1088,0
1089,1089,46
1090,1090,46
1091,1091,0
1092,1092,0
1093,1093,0
1094,1094,53
1095,1095,52
1096,1096,0
1097,1097,0
1098,1098,52
1099,1099,54
1100,1100,57
1101,1101,50
1102,1102,0
1103,1103,0
1104,1104,60
1105,1105,0
1106,1106,59
1107,1107,49
1108,1108,0
1109,1109,0
1110,1110,57
1111,1111,59
1112,1112,55
1113,1113,0
1114,1114,58
1115,1115,60
1116,1116,0
1117,1117,0
1118,1118,51
1119,1119,52
1120,1120,0
1121,1121,0
1122,1122,0
1123,1123,0
1124,1124,51
1125,1125,0
1126,1126,52
1127,1127,54
1128,1128,59
1129,1129,0
1130,1130,0
1131,1131,52
1132,1132,0
1133,1133,57
1134,1134,48
1135,1135,49
1136,1136,56
1137,1137,54
1138,1138,0
1139,1139,57
1140,1140,57
1141,1141,60
1142,1142,55
1143,1143,58
1144,1144,52
1145,1145,0
1146,1146,39
1147,1147,0
1148,1148,0
1149,1149,55
1150,1150,56
1151,1151,50
1152,1152,0
1153,1153,0
1154,1154,49
1155,1155,0
1156,1156,49
1157,1157,56
1158,1158,0
1159,1159,56
1160,1160,0
1161,1161,59
1162,1162,60
1163,1163,59
1164,1164,0
1165,1165,57
1166,1166,60
1167,1167,0
1168,1168,0
1169,1169,0
1170,1170,0
1171,1171,0
1172,1172,60
1173,1173,0
1174,1174,60
1175,1175,0
1176,1176,49
1177,1177,60
1178,1178,0
1179,1179,58
1180,1180,47
1181,1181,0
1182,1182,57
1183,1183,0
1184,1184,55
1185,1185,49
1186,1186,60
1187,1187,0
1188,1188,0
1189,1189,40
1190,1190,0
1191,1191,54
1192,1192,58
1193,1193,47
1194,1194,57
1195,1195,0
1196,1196,57
1197,1197,56
1198,1198,59
1199,1199,0
