,tempo,traffic
316,316,12
317,317,16
318,318,13
319,319,9
320,320,13
321,321,15
322,322,10
323,323,11
324,324,6
325,325,9
326,326,11
327,327,12
328,328,13
329,329,7
330,330,8
331,331,11
332,332,12
333,333,15
334,334,10
335,335,8
336,336,3
337,337,3
338,338,10
339,339,11
340,340,9
341,341,11
342,342,10
343,343,10
344,344,12
345,345,14
346,346,9
347,347,7
348,348,4
349,349,12
350,350,9
351,351,15
352,352,6
353,353,11
354,354,8
355,355,9
356,356,8
357,357,8
358,358,15
359,359,6
360,360,16
361,361,14
362,362,9
363,363,11
364,364,11
365,365,15
366,366,5
367,367,17
368,368,8
369,369,12
370,370,13
371,371,10
372,372,11
373,373,7
374,374,15
375,375,9
376,376,9
377,377,10
378,378,13
379,379,4
380,380,7
381,381,5
382,382,7
383,383,6
384,384,13
385,385,16
386,386,12
387,387,13
388,388,14
389,389,6
390,390,13
391,391,8
392,392,9
393,393,9
394,394,9
395,395,5
396,396,16
397,397,11
398,398,13
399,399,9
400,400,7
401,401,5
402,402,8
403,403,12
404,404,3
405,405,8
406,406,9
407,407,11
408,408,15
409,409,9
410,410,8
411,411,9
412,412,10
413,413,9
414,414,10
415,415,11
416,416,7
417,417,9
418,418,8
419,419,8
420,420,13
421,421,10
422,422,6
423,423,11
424,424,13
425,425,12
426,426,12
427,427,12
428,428,7
429,429,9
430,430,12
431,431,16
432,432,5
433,433,9
434,434,4
435,435,10
436,436,12
437,437,13
438,438,8
439,439,14
440,440,14
441,441,5
442,442,9
443,443,12
444,444,9
445,445,10
446,446,11
447,447,11
448,448,12
449,449,12
450,450,14
451,451,9
452,452,8
453,453,12
454,454,12
455,455,8
456,456,6
457,457,6
458,458,13
459,459,10
460,460,10
461,461,10
462,462,9
463,463,11
464,464,10
465,465,12
466,466,8
467,467,13
468,468,9
469,469,9
470,470,9
471,471,7
472,472,10
473,473,7
474,474,10
475,475,10
476,476,16
477,477,9
478,478,12
479,479,11
480,480,12
481,481,12
482,482,12
483,483,9
484,484,9
485,485,11
486,486,16
487,487,10
488,488,6
489,489,10
490,490,7
491,491,10
492,492,13
493,493,14
494,494,15
495,495,8
496,496,9
497,497,6
498,498,5
499,499,8
500,500,8
501,501,13
502,502,11
503,503,14
504,504,12
505,505,11
506,506,11
507,507,8
508,508,15
509,509,11
510,510,9
511,511,11
512,512,7
513,513,12
514,514,16
515,515,5
516,516,11
517,517,16
518,518,8
519,519,12
520,520,14
521,521,8
522,522,13
523,523,8
524,524,10
525,525,8
526,526,8
527,527,14
528,528,4
529,529,8
530,530,18
531,531,8
532,532,7
533,533,10
534,534,12
535,535,11
536,536,10
537,537,16
538,538,13
539,539,11
540,540,10
541,541,8
542,542,9
543,543,6
544,544,10
545,545,10
546,546,12
547,547,6
548,548,7
549,549,11
550,550,5
551,551,10
552,552,10
553,553,13
554,554,8
555,555,9
556,556,11
557,557,10
558,558,9
559,559,17
560,560,12
561,561,7
562,562,7
563,563,9
564,564,8
565,565,9
566,566,10
567,567,11
568,568,12
569,569,11
570,570,9
571,571,14
572,572,4
573,573,8
574,574,10
575,575,9
576,576,13
577,577,13
578,578,5
579,579,9
580,580,9
581,581,8
582,582,15
583,583,7
584,584,9
585,585,10
586,586,7
587,587,7
588,588,11
589,589,8
590,590,3
591,591,14
592,592,8
593,593,9
594,594,7
595,595,9
596,596,10
597,597,8
598,598,12
599,599,16
600,600,0
601,601,57
602,602,0
603,603,0
604,604,52
605,605,54
606,606,59
607,607,0
608,608,0
609,609,57
610,610,0
611,611,0
612,612,0
613,613,0
614,614,54
615,615,0
616,616,56
617,617,51
618,618,59
619,619,0
620,620,52
621,621,53
622,622,49
623,623,0
624,624,57
625,625,0
626,626,51
627,627,0
628,628,0
629,629,52
630,630,50
631,631,60
632,632,0
633,633,58
634,634,0
635,635,0
636,636,0
637,637,0
638,638,0
639,639,56
640,640,0
641,641,0
642,642,0
643,643,50
644,644,54
645,645,50
646,646,0
647,647,57
648,648,58
649,649,0
650,650,0
651,651,0
652,652,0
653,653,0
654,654,0
655,655,54
656,656,58
657,657,0
658,658,0
659,659,59
660,660,56
661,661,0
662,662,50
663,663,0
664,664,55
665,665,0
666,666,0
667,667,57
668,668,58
669,669,58
670,670,0
671,671,60
672,672,50
673,673,55
674,674,53
675,675,0
676,676,0
677,677,48
678,678,0
679,679,55
680,680,0
681,681,58
682,682,0
683,683,0
684,684,0
685,685,54
686,686,59
687,687,0
688,688,58
689,689,0
690,690,0
691,691,53
692,692,49
693,693,59
694,694,52
695,695,0
696,696,56
697,697,0
698,698,0
699,699,0
700,700,0
701,701,0
702,702,60
703,703,0
704,704,0
705,705,59
706,706,0
707,707,0
708,708,56
709,709,0
710,710,0
711,711,59
712,712,52
713,713,0
714,714,0
715,715,0
716,716,0
717,717,52
718,718,47
719,719,0
720,720,50
721,721,60
722,722,53
723,723,55
724,724,44
725,725,0
726,726,0
727,727,0
728,728,0
729,729,49
730,730,55
731,731,52
732,732,0
733,733,0
734,734,52
735,735,0
736,736,55
737,737,51
738,738,0
739,739,55
740,740,49
741,741,56
742,742,43
743,743,55
744,744,56
745,745,0
746,746,0
747,747,57
748,748,57
749,749,54
750,750,48
751,751,54
752,752,0
753,753,0
754,754,57
755,755,46
756,756,0
757,757,0
758,758,0
759,759,54
760,760,60
761,761,53
762,762,0
763,763,59
764,764,0
765,765,54
766,766,0
767,767,60
768,768,0
769,769,51
770,770,48
771,771,55
772,772,56
773,773,0
774,774,59
775,775,0
776,776,58
777,777,0
778,778,52
779,779,0
780,780,0
781,781,52
782,782,0
783,783,59
784,784,0
785,785,58
786,786,57
787,787,0
788,788,59
789,789,56
790,790,0
791,791,0
792,792,57
793,793,0
794,794,50
795,795,56
796,796,60
797,797,56
798,798,51
799,799,0
800,800,55
801,801,0
802,802,59
803,803,60
804,804,0
805,805,0
806,806,50
807,807,60
808,808,0
809,809,54
810,810,49
811,811,0
812,812,52
813,813,0
814,814,0
815,815,50
816,816,0
817,817,0
818,818,58
819,819,58
820,820,0
821,821,54
822,822,40
823,823,0
824,824,51
825,825,52
826,826,50
827,827,0
828,828,0
829,829,0
830,830,50
831,831,55
832,832,52
833,833,58
834,834,52
835,835,0
836,836,58
837,837,52
838,838,57
839,839,45
840,840,0
841,841,0
842,842,0
843,843,0
844,844,58
845,845,0
846,846,54
847,847,48
848,848,0
849,849,0
850,850,0
851,851,0
852,852,54
853,853,50
854,854,60
855,855,48
856,856,55
857,857,0
858,858,0
859,859,55
860,860,0
861,861,50
862,862,0
863,863,56
864,864,45
865,865,0
866,866,60
867,867,0
868,868,51
869,869,57
870,870,60
871,871,0
872,872,0
873,873,0
874,874,0
875,875,57
876,876,0
877,877,0
878,878,53
879,879,0
880,880,0
881,881,56
882,882,56
883,883,0
884,884,55
885,885,0
886,886,0
887,887,0
888,888,0
889,889,0
890,890,56
891,891,0
892,892,49
893,893,0
894,894,57
895,895,58
896,896,55
897,897,52
898,898,54
899,899,0
900,900,52
901,901,60
902,902,58
903,903,0
904,904,56
905,905,58
906,906,0
907,907,0
908,908,0
909,909,50
910,910,0
911,911,0
912,912,51
913,913,0
914,914,59
915,915,58
916,916,52
917,917,0
918,918,57
919,919,0
920,920,58
921,921,60
922,922,50
923,923,0
924,924,53
925,925,54
926,926,58
927,927,0
928,928,58
929,929,50
930,930,0
931,931,53
932,932,59
933,933,0
934,934,57
935,935,0
936,936,0
937,937,60
938,938,0
939,939,55
940,940,51
941,941,52
942,942,0
943,943,49
944,944,46
945,945,50
946,946,0
947,947,0
948,948,53
949,949,59
950,950,60
951,951,0
952,952,0
953,953,0
954,954,0
955,955,57
956,956,0
957,957,60
958,958,0
959,959,0
960,960,38
961,961,0
962,962,0
963,963,0
964,964,0
965,965,0
966,966,52
967,967,0
968,968,58
969,969,0
970,970,54
971,971,0
972,972,48
973,973,0
974,974,54
975,975,0
976,976,0
977,977,0
978,978,0
979,979,0
980,980,0
981,981,0
982,982,46
983,983,53
984,984,56
985,985,46
986,986,0
987,987,0
988,988,0
989,989,0
990,990,0
991,991,0
992,992,51
993,993,0
994,994,51
995,995,47
996,996,0
997,997,0
998,998,45
999,999,41
1000,1000,0
1001,1001,0
1002,1002,54
1003,1003,0
1004,1004,54
1005,1005,51
1006,1006,0
1007,1007,48
1008,1008,0
1009,1009,0
1010,1010,0
1011,1011,0
1012,1012,0
1013,1013,0
1014,1014,0
1015,1015,0
1016,1016,0
1017,1017,0
1018,1018,55
1019,1019,0
1020,1020,58
1021,1021,0
1022,1022,54
1023,1023,59
1024,1024,60
1025,1025,56
1026,1026,52
1027,1027,0
1028,1028,60
1029,1029,49
1030,1030,60
1031,1031,0
1032,1032,48
1033,1033,0
1034,1034,0
1035,1035,52
1036,1036,0
1037,1037,49
1038,1038,55
1039,1039,59
1040,1040,53
1041,1041,56
1042,1042,0
1043,1043,0
1044,1044,0
1045,1045,0
1046,1046,0
1047,1047,0
1048,1048,47
1049,1049,0
1050,1050,55
1051,1051,56
1052,1052,0
1053,1053,0
1054,1054,58
1055,1055,57
1056,1056,0
1057,1057,52
1058,1058,56
1059,1059,0
1060,1060,48
1061,1061,0
1062,1062,48
1063,1063,0
1064,1064,0
1065,1065,52
1066,1066,44
1067,1067,52
1068,1068,51
1069,1069,52
1070,1070,0
1071,1071,60
1072,1072,0
1073,1073,0
1074,1074,0
1075,1075,0
1076,1076,56
1077,1077,56
1078,1078,0
1079,1079,0
1080,1080,57
1081,1081,0
1082,1082,59
1083,1083,57
1084,1084,0
1085,1085,0
1086,1086,0
1087,1087,59
1088,1088,48
1089,1089,51
1090,1090,51
1091,1091,0
1092,1092,55
1093,1093,52
1094,1094,0
1095,1095,0
1096,1096,58
1097,1097,53
1098,1098,0
1099,1099,58
1100,1100,53
1101,1101,52
1102,1102,48
1103,1103,0
1104,1104,0
1105,1105,0
1106,1106,0
1107,1107,58
1108,1108,0
1109,1109,51
1110,1110,59
1111,1111,56
1112,1112,55
1113,1113,60
1114,1114,44
1115,1115,59
1116,1116,57
1117,1117,0
1118,1118,44
1119,1119,0
1120,1120,54
1121,1121,49
1122,1122,52
1123,1123,56
1124,1124,60
1125,1125,50
1126,1126,0
1127,1127,0
1128,1128,52
1129,1129,57
1130,1130,57
1131,1131,0
1132,1132,51
1133,1133,0
1134,1134,56
1135,1135,0
1136,1136,57
1137,1137,55
1138,1138,57
1139,1139,0
1140,1140,55
1141,1141,51
1142,1142,46
1143,1143,51
1144,1144,58
1145,1145,55
1146,1146,53
1147,1147,59
1148,1148,53
1149,1149,51
1150,1150,56
1151,1151,46
1152,1152,0
1153,1153,59
1154,1154,56
1155,1155,0
1156,1156,50
1157,1157,54
1158,1158,0
1159,1159,0
1160,1160,0
1161,1161,0
1162,1162,48
1163,1163,0
1164,1164,0
1165,1165,50
1166,1166,48
1167,1167,45
1168,1168,57
1169,1169,0
1170,1170,0
1171,1171,0
1172,1172,0
1173,1173,0
1174,1174,0
1175,1175,60
1176,1176,51
1177,1177,49
1178,1178,57
1179,1179,0
1180,1180,0
1181,1181,0
1182,1182,46
1183,1183,59
1184,1184,53
1185,1185,57
1186,1186,51
1187,1187,0
1188,1188,0
1189,1189,59
1190,1190,53
1191,1191,53
1192,1192,49
1193,1193,0
1194,1194,0
1195,1195,56
1196,1196,51
1197,1197,0
1198,1198,55
1199,1199,0
